date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:25:41	34354/34354	---M-Z	200	added ('OK')	text/html	etag:%2280b6cf2719ada1:0%22	https://pagomiscuentas.com/	C:/My%20Web%20Sites/Pago%20mis%20cuentas/pagomiscuentas.com/index.html	(from )
17:25:44	953/953	---M-Z	200	added ('OK')	text/plain	date:Mon,%2029%20Apr%202024%2020:25:38%20GMT	https://pagomiscuentas.com/robots.txt		(from )
17:25:45	3949/3949	---M--	200	added ('OK')	image/png	etag:%22075d3b34f7fd31:0%22	https://pagomiscuentas.com/sites/all/themes/omega/omega/apple-touch-icon-precomposed-114x114.png	C:/My%20Web%20Sites/Pago%20mis%20cuentas/pagomiscuentas.com/sites/all/themes/omega/omega/apple-touch-icon-precomposed-114x114.png	(from https://pagomiscuentas.com/)
17:25:45	2467/2467	---M--	200	added ('OK')	image/png	etag:%22075d3b34f7fd31:0%22	https://pagomiscuentas.com/sites/all/themes/omega/omega/apple-touch-icon-precomposed.png	C:/My%20Web%20Sites/Pago%20mis%20cuentas/pagomiscuentas.com/sites/all/themes/omega/omega/apple-touch-icon-precomposed.png	(from https://pagomiscuentas.com/)
17:25:45	2943/2943	---M--	200	added ('OK')	image/png	etag:%22075d3b34f7fd31:0%22	https://pagomiscuentas.com/sites/all/themes/omega/omega/apple-touch-icon-precomposed-72x72.png	C:/My%20Web%20Sites/Pago%20mis%20cuentas/pagomiscuentas.com/sites/all/themes/omega/omega/apple-touch-icon-precomposed-72x72.png	(from https://pagomiscuentas.com/)
17:25:45	23462/23462	---M--	200	added ('OK')	image/png	etag:%228281502d12d2d91:0%22	https://pagomiscuentas.com/sites/all/themes/omega/omega/apple-touch-icon-precomposed-144x144.png	C:/My%20Web%20Sites/Pago%20mis%20cuentas/pagomiscuentas.com/sites/all/themes/omega/omega/apple-touch-icon-precomposed-144x144.png	(from https://pagomiscuentas.com/)
17:25:46	104791/104791	---M--	200	added ('OK')	image/x-icon	etag:%22071a744873d51:0%22	https://pagomiscuentas.com/sites/all/themes/pmcbotondepagopublico_theme/favicon.ico	C:/My%20Web%20Sites/Pago%20mis%20cuentas/pagomiscuentas.com/sites/all/themes/pmcbotondepagopublico_theme/favicon.ico	(from https://pagomiscuentas.com/)
17:25:46	5109/5109	---M--	200	added ('OK')	image/png	etag:%22ae18242fd17d41:0%22	https://pagomiscuentas.com/sites/pagomiscuentas.com/files/ico-pagomiscuentas.png	C:/My%20Web%20Sites/Pago%20mis%20cuentas/pagomiscuentas.com/sites/pagomiscuentas.com/files/ico-pagomiscuentas.png	(from https://pagomiscuentas.com/)
17:25:48	150/150	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2029%20Apr%202024%2020:25:42%20GMT	https://pagomiscuentas.com/home	C:/My%20Web%20Sites/Pago%20mis%20cuentas/pagomiscuentas.com/home.6.delayed	(from https://pagomiscuentas.com/)
17:25:51	150/150	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2029%20Apr%202024%2020:25:45%20GMT	https://pagomiscuentas.com/node/57	C:/My%20Web%20Sites/Pago%20mis%20cuentas/pagomiscuentas.com/node/57.7.delayed	(from https://pagomiscuentas.com/)
